timezone,app,interventionType,resolution,interventionDuration,timestamp,isReIntervention
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749454979.35467,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749455372.4962049,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749457406.098079,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749457420.335156,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749459692.42524,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749468412.192271,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749469246.986103,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749471377.1062489,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749473624.0686278,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749474251.5784879,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749485566.9774032,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749488327.055846,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749488637.4102402,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749534573.289156,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749534825.1543999,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749538978.856879,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749543886.342541,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749544660.036233,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749545406.948782,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749547445.393018,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749547486.693342,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749547713.253604,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749553113.39098,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749554189.10184,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749556277.301543,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749556640.51657,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749556956.286793,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749559272.26821,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749560351.904756,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749560452.520335,False
Europe/Amsterdam,instagram,breathingExercise,dismissedAppOpening,1.5,1749570672.201606,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749571133.05604,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749572070.7386599,False
Europe/Amsterdam,instagram,breathingExercise,openedApp,1.5,1749578718.942893,False
