timestamp,app,resolution,isReIntervention,interventionDuration,interventionType,timezone,purpose
1751960311.689622,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751960375.139008,tikTok,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751962390.188068,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751968200.6380901,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751968204.207624,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751972530.441571,instagram,openedApp,False,1.5,breathingExercise,Europe/Amsterdam,Bored
1751972692.703946,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751983952.332602,instagram,openedApp,False,1.5,breathingExercise,Europe/Amsterdam,Message
1751984126.42646,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751984171.263443,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751984433.8386521,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751984982.9889832,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751984990.013146,instagram,openedApp,False,1.5,breathingExercise,Europe/Amsterdam,Message
1751985020.247136,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751985414.282887,instagram,openedApp,False,1.5,breathingExercise,Europe/Amsterdam,Message
1751986510.825107,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751986516.986336,instagram,openedApp,False,1.5,breathingExercise,Europe/Amsterdam,Message
1751992714.066386,instagram,openedApp,False,1.5,breathingExercise,Europe/Amsterdam,Message
1751992939.081311,instagram,openedApp,False,1.5,breathingExercise,Europe/Amsterdam,Message
1751992959.731277,tikTok,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751993707.959522,instagram,openedApp,False,1.5,breathingExercise,Europe/Amsterdam,Message
1751993820.9379458,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751993828.657075,instagram,openedApp,False,1.5,breathingExercise,Europe/Amsterdam,Message
1751993984.6215792,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751994058.654459,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751994101.46176,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751994111.39123,tikTok,openedApp,False,1.5,breathingExercise,Europe/Amsterdam,Bored
1751994275.118473,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751994277.3020248,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
1751995618.291604,instagram,openedApp,False,1.5,breathingExercise,Europe/Amsterdam,Message
1751995826.0132551,instagram,openedApp,False,1.5,breathingExercise,Europe/Amsterdam,Message
1751995892.871729,instagram,dismissedAppOpening,False,1.5,breathingExercise,Europe/Amsterdam,
